MalID,URL,ImageURL,Title,Airing,Synopsis,Type,Episodes,Score,StartDate,EndDate,Members,Rated
41005,https://myanimelist.net/anime/41005/Ane_Naru_Mono,https://cdn.myanimelist.net/images/anime/1544/105268.jpg?s=0b53950de3a705b3c6cc9e99cb2e4525,Ane Naru Mono,false,"Since the death of his parents, young Yuu has suffered considerably from neglect and abuse at the hands of his adoptive relatives, who leave him to his own resources to survive. Fortunately, a girl na...",OVA,0,0.000000,0001-01-01 00:00:00 +0000 UTC,0001-01-01 00:00:00 +0000 UTC,8922,
952,https://myanimelist.net/anime/952/Magical_Nyan_Nyan_Taruto,https://cdn.myanimelist.net/images/anime/1/952.jpg?s=dc4e285b7587bcceb59d1cd68f64e261,Magical Nyan Nyan Taruto,false,Taruto is a little cat who has just moved to a new city with her master's family. Taruto spends her days making friends and exploring her new home town. She also has a knack for getting herself into t...,TV,12,6.220000,2001-07-05 00:00:00 +0000 +0000,2001-09-27 00:00:00 +0000 +0000,6144,G
36564,https://myanimelist.net/anime/36564/Kamiusagi_Rope_x_Boruto__Naruto_Next_Generations,https://cdn.myanimelist.net/images/anime/3/88377.jpg?s=79fc85f6fc2e86282ec74b6fc1c1e204,Kamiusagi Rope x Boruto: Naruto Next Generations,false,"A 3-way collaboration between Kamiusagi Rope, Boruto: Naruto Next Generations, and TOHO Cinemas. The purpose is to promote a new TOHO theater opening up in Ueno on November 4, 2017. The collaboration...",ONA,1,5.530000,2017-10-12 00:00:00 +0000 +0000,2017-10-12 00:00:00 +0000 +0000,6060,G
3806,https://myanimelist.net/anime/3806/Sasuga_no_Sarutobi,https://cdn.myanimelist.net/images/anime/6/6775.jpg?s=a6a3f890b75a1caca175e8065f09c0cf,Sasuga no Sarutobi,false,"Nikumaru, meaning ""meatball"" in Japanese, is a seventeen-year-old student at Ninja High School, a special school for the training of ninja. He is short and chubby, but he possesses a super technique k...",TV,69,6.420000,1982-10-17 00:00:00 +0000 +0000,1984-03-11 00:00:00 +0000 +0000,1153,G
5091,https://myanimelist.net/anime/5091/Manga_Sarutobi_Sasuke,https://cdn.myanimelist.net/images/anime/11/57257.jpg?s=954861fd427ad164c69e2beb1673e1af,Manga Sarutobi Sasuke,false,Sasuke is the story of a ninja child that starts right after the battle of Sekigahara where Tokugawa Ieyasu becomes shogun of Japan. Sarutobi Sasuke (Jump Like Monkey Sasuke) was a famous ninja in the...,TV,24,6.630000,1979-10-09 00:00:00 +0000 +0000,1980-04-15 00:00:00 +0000 +0000,1242,PG
30920,https://myanimelist.net/anime/30920/Utopa,https://cdn.myanimelist.net/images/anime/9/76579.jpg?s=394791578e39b44c179ce35c83b08b7f,Utopa,false,"Hundreds of years after the 20th century, nature and the ecosystem have been devastated due to use of nuclear and biological weapons. Most of the Earth has been contaminated and is collapsing into rui...",Movie,1,5.670000,2016-03-19 00:00:00 +0000 +0000,2016-03-19 00:00:00 +0000 +0000,1556,PG
6311,https://myanimelist.net/anime/6311/Sarutobi_Ecchan,https://cdn.myanimelist.net/images/anime/12/59333.jpg?s=b0d1bc06f4e54240b35d5f5720f22de1,Sarutobi Ecchan,false,"A strange girl transfers to Mitsuba Elementary School. At first glance, she is a normal student. However, she is a great athlete, and can talk to animals. Accoding to her, she is the 33rd descendant o...",TV,26,5.940000,1971-10-04 00:00:00 +0000 +0000,1972-03-27 00:00:00 +0000 +0000,736,PG
4948,https://myanimelist.net/anime/4948/Shounen_Sarutobi_Sasuke,https://cdn.myanimelist.net/images/anime/1266/100537.jpg?s=e56a2ecbb7973a0c963100c7045b5ac7,Shounen Sarutobi Sasuke,false,"""Magic Boy"" was the first ever Japanese animation to be released theatrically in North America. Sasuke, a boy vexed by an evil witch, studies magic and uses his powers to defeat her. (Source: bcdb)",Movie,1,5.960000,2059-12-25 00:00:00 +0000 +0000,2059-12-25 00:00:00 +0000 +0000,1439,PG
936,https://myanimelist.net/anime/936/Naruto_Movie_2__Dai_Gekitotsu_Maboroshi_no_Chiteiiseki_Dattebayo,https://cdn.myanimelist.net/images/anime/11/76016.jpg?s=77c701f8a3bd608240c69f4080212431,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,false,"In a tumultuous effort, the Sunagakure ninjas attempt to repel an unforeseen invasion of mysterious armored warriors on the Land of Wind. Shortly afterwards, the same armored troops led by Temujin—a s...",Movie,1,6.870000,2005-08-06 00:00:00 +0000 +0000,2005-08-06 00:00:00 +0000 +0000,187624,PG-13
16870,https://myanimelist.net/anime/16870/The_Last__Naruto_the_Movie,https://cdn.myanimelist.net/images/anime/10/67631.jpg?s=d84468711f6c7b6c122e4822fb4ab805,The Last: Naruto the Movie,false,Two years have passed since the end of the Fourth Great Ninja War. Konohagakure has remained in a state of peace and harmony—until Sixth Hokage Kakashi Hatake notices the moon is dangerously approachi...,Movie,1,7.760000,2014-12-06 00:00:00 +0000 +0000,2014-12-06 00:00:00 +0000 +0000,417887,PG-13
35072,https://myanimelist.net/anime/35072/Boruto__Jump_Festa_2016_Special,https://cdn.myanimelist.net/images/anime/10/84622.jpg?s=c2abafee8537e4c7eb2225d2310cf617,Boruto: Jump Festa 2016 Special,false,The special anime adaptation of Boruto will be screening at Shueisha’s by-invitation anime event Jump Special Anime Festa 2016!,Special,1,6.200000,2016-11-27 00:00:00 +0000 +0000,2016-11-27 00:00:00 +0000 +0000,11939,PG-13
22113,https://myanimelist.net/anime/22113/Kyoukaisenjou_no_Horizon__Kyokutou_Naruhodo_Kouza,https://cdn.myanimelist.net/images/anime/11/58009.jpg?s=e588056049508c542180c7f464f27823,Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza,false,"Specials aired on Nico Nico Douga and YouTube, later released on BDs/DVDs.",ONA,4,6.220000,2011-08-07 00:00:00 +0000 +0000,2011-09-29 00:00:00 +0000 +0000,3495,PG-13
37786,https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru,https://cdn.myanimelist.net/images/anime/1783/96153.jpg?s=417ebf7092dad72389d824b840bf37b5,Yagate Kimi ni Naru,false,Yuu Koito has always been entranced with romantic shoujo manga and the lyrics of love songs. She patiently waits for the wings of love to sprout and send her heart aflutter on the day that she finally...,TV,13,7.920000,2018-10-05 00:00:00 +0000 +0000,2018-12-28 00:00:00 +0000 +0000,230440,PG-13
30895,https://myanimelist.net/anime/30895/HaruChika__Haruta_to_Chika_wa_Seishun_suru,https://cdn.myanimelist.net/images/anime/6/77835.jpg?s=0d851d926bba48d6f496fa5988a59ad9,HaruChika: Haruta to Chika wa Seishun suru,false,"Chika Homura begins her high school career with a goal: to develop a ""cute girl"" persona. After quitting the volleyball team despite her all-star status, Chika decides to join her school's underrated...",TV,12,6.340000,2016-01-07 00:00:00 +0000 +0000,2016-03-24 00:00:00 +0000 +0000,79987,PG-13
34566,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,https://cdn.myanimelist.net/images/anime/9/84460.jpg?s=ae561b0c245d07556cbdfbbf1ee374a9,Boruto: Naruto Next Generations,true,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts...",TV,0,5.820000,2017-04-05 00:00:00 +0000 +0000,0001-01-01 00:00:00 +0000 UTC,617273,PG-13
761,https://myanimelist.net/anime/761/Naruto__Akaki_Yotsuba_no_Clover_wo_Sagase,https://cdn.myanimelist.net/images/anime/12/11240.jpg?s=9c3e8b5fbbc6163c4c25c67d54692406,Naruto: Akaki Yotsuba no Clover wo Sagase,false,"The grandson of the 3rd Hokage, Konohamaru, finally has a crush on a girl, but he has a big problem she is soon to be moving away from the hidden leaf village. Konohamaru trying to make her stay seeks...",Special,1,6.530000,2003-05-24 00:00:00 +0000 +0000,2003-05-24 00:00:00 +0000 +0000,72178,PG-13
840,https://myanimelist.net/anime/840/Narue_no_Sekai,https://cdn.myanimelist.net/images/anime/7/19048.jpg?s=67d9ecd185af80afe163db672fd821c2,Narue no Sekai,false,"Meet Narue, an adorable schoolgirl with a secret. She's really an alien with powers right out of a sci-fi comic! But growing up is never easy, and sometimes it doesn't help when you're from outer spac...",TV,12,6.570000,2003-04-05 00:00:00 +0000 +0000,2003-06-28 00:00:00 +0000 +0000,16739,PG-13
40747,https://myanimelist.net/anime/40747/Dounika_Naru_Hibi,https://cdn.myanimelist.net/images/anime/1924/106583.jpg?s=4ccf225f29b71d54e6df2c696fffcc37,Dounika Naru Hibi,false,"Love is love. Someday, the pain of being in love will be an endearing memory. No matter who the feelings are towards, no matter what form it takes, all love and lifestyles have the same value. An omni...",Movie,1,5.420000,2020-10-23 00:00:00 +0000 +0000,2020-10-23 00:00:00 +0000 +0000,13040,PG-13
605,https://myanimelist.net/anime/605/Tenshi_ni_Narumon,https://cdn.myanimelist.net/images/anime/1671/94180.jpg?s=d380bffffdc4436a56216f930bc47003,Tenshi ni Narumon!,false,"Yuusuke was just a normal kid going to high school. Then one day, the cute and behaloed Noelle fell, quite literally, into his life, naked as a baby and every bit as innocent. Before he can even fatho...",TV,26,6.710000,1999-04-07 00:00:00 +0000 +0000,1999-09-29 00:00:00 +0000 +0000,6245,PG-13
594,https://myanimelist.net/anime/594/Naruto__Takigakure_no_Shitou_-_Ore_ga_Eiyuu_Dattebayo,https://cdn.myanimelist.net/images/anime/11/20921.jpg?s=ea9c1b5c96a68b2a7b2616e8c25512c1,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,false,"A routine rank-C mission turned into a full-blown battle as the Hidden Fall village is attacked by enemy ninjas. Now Naruto, Sasuke and Sakura must help the leader of the Hidden Fall, Shibuki, protect...",Special,1,6.760000,2003-12-20 00:00:00 +0000 +0000,2003-12-20 00:00:00 +0000 +0000,77505,PG-13
1074,https://myanimelist.net/anime/1074/Naruto_Narutimate_Hero_3__Tsuini_Gekitotsu_Jounin_vs_Genin_Musabetsu_Dairansen_Taikai_Kaisai,https://cdn.myanimelist.net/images/anime/10/11244.jpg?s=04a45f30a2d3fa666388fcb5dab37750,Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!,false,"A contest is made by the Fifth Hokage called Jonin vs Genin. The point is to collect crystals for points, with the higher-ranked Chunin and Jonin holding crystals worth more points. The Genin have blu...",OVA,1,6.770000,2005-12-22 00:00:00 +0000 +0000,2005-12-22 00:00:00 +0000 +0000,68897,PG-13
7367,https://myanimelist.net/anime/7367/Naruto__The_Cross_Roads,https://cdn.myanimelist.net/images/anime/11/27050.jpg?s=5dd6d0b9017576c7b5c94d2dab8fdf7d,Naruto: The Cross Roads,false,"This year is the 10th anniversary of Naruto's serialization start. This work will feature an episode with Team Kakashi from Naruto's youth era. It will be surprisingly different from the TV series, do...",Special,1,6.800000,2009-10-12 00:00:00 +0000 +0000,2009-10-12 00:00:00 +0000 +0000,42952,PG-13
8023,https://myanimelist.net/anime/8023/Toaru_Kagaku_no_Railgun__Motto_Marutto_Railgun,https://cdn.myanimelist.net/images/anime/11/21780.jpg?s=1165fe46b37226436fab04dc4eacbd69,Toaru Kagaku no Railgun: Motto Marutto Railgun,false,Toaru Kagaku no Railgun specials that were released on the 1st and 5th Blu-ray and DVD volumes.,Special,2,6.870000,2010-01-29 00:00:00 +0000 +0000,2010-05-28 00:00:00 +0000 +0000,41650,PG-13
13667,https://myanimelist.net/anime/13667/Naruto__Shippuuden_Movie_6_-_Road_to_Ninja,https://cdn.myanimelist.net/images/anime/6/51863.jpg?s=27ab188d97eb1262acf899c2e9813bbe,Naruto: Shippuuden Movie 6 - Road to Ninja,false,"Returning home to Konohagakure, the young ninja celebrate defeating a group of supposed Akatsuki members. Naruto Uzumaki and Sakura Haruno, however, feel differently. Naruto is jealous of his comrades...",Movie,1,7.660000,2012-07-28 00:00:00 +0000 +0000,2012-07-28 00:00:00 +0000 +0000,251556,PG-13
2248,https://myanimelist.net/anime/2248/Naruto__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo_-_Konoha_no_Sato_no_Dai_Undoukai,https://cdn.myanimelist.net/images/anime/1/2473.jpg?s=540fd3ee478ab403e24fb781cae1e4ed,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,false,"The genin of Konoha are having a sports day filled with races, obstacle courses and of course the relay and the prize is a paid vacation for the winner. Unfortunately Naruto and his stomach are gettin...",Special,1,6.870000,2004-08-21 00:00:00 +0000 +0000,2004-08-21 00:00:00 +0000 +0000,67273,PG-13
20,https://myanimelist.net/anime/20/Naruto,https://cdn.myanimelist.net/images/anime/13/17405.jpg?s=59241469eb470604a792add6fbe7cce6,Naruto,false,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi'...",TV,220,7.930000,2002-10-03 00:00:00 +0000 +0000,2007-02-08 00:00:00 +0000 +0000,2106248,PG-13
2144,https://myanimelist.net/anime/2144/Naruto_Movie_3__Dai_Koufun_Mikazuki_Jima_no_Animaru_Panikku_Dattebayo,https://cdn.myanimelist.net/images/anime/6/76017.jpg?s=07ffbcb450ac4c783fc80d64c302cd4c,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,false,"Led by Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Rock Lee are tasked to escort the extravagant Prince Michiru Tsuki and his spoiled son Hikaru to the prosperous Land of Moon when the two retu...",Movie,1,6.890000,2006-08-05 00:00:00 +0000 +0000,2006-08-05 00:00:00 +0000 +0000,165564,PG-13
10659,https://myanimelist.net/anime/10659/Naruto_Soyokazeden_Movie__Naruto_to_Mashin_to_Mitsu_no_Onegai_Dattebayo,https://cdn.myanimelist.net/images/anime/10/31573.jpg?s=6a58b632acb146691169f14b2d9f5860,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,false,"Naruto discovers a genie's bottle while he and the gang are at a genin grill party. When everyone finds out about the genie's ability to grant wishes, the ultimate chase begins. (Source: AniDB)",Movie,1,6.970000,2010-07-31 00:00:00 +0000 +0000,2010-07-31 00:00:00 +0000 +0000,43552,PG-13
19697,https://myanimelist.net/anime/19697/Toaru_Kagaku_no_Railgun_S__Motto_Marutto_Railgun,https://cdn.myanimelist.net/images/anime/2/52717.jpg?s=b5bbfa0c1d8fc74d84647518e6a97ad3,Toaru Kagaku no Railgun S: Motto Marutto Railgun,false,Toaru Kagaku no Railgun S specials that were released on Blu-ray and DVD volumes.,Special,2,7.060000,2013-07-24 00:00:00 +0000 +0000,2013-11-27 00:00:00 +0000 +0000,29586,PG-13
442,https://myanimelist.net/anime/442/Naruto_Movie_1__Dai_Katsugeki_Yuki_Hime_Shinobu_Houjou_Dattebayo,https://cdn.myanimelist.net/images/anime/6/76015.jpg?s=cf22c3c0297cf6dca2fb1c97ced2cd41,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,false,"Naruto Uzumaki and his squadmates, Sasuke Uchiha and Sakura Haruno, are sent on a mission to escort a movie crew on its way to film in the Land of Snow. They soon find out that they are accompanying a...",Movie,1,7.100000,2004-08-21 00:00:00 +0000 +0000,2004-08-21 00:00:00 +0000 +0000,233487,PG-13
12979,https://myanimelist.net/anime/12979/Naruto_SD__Rock_Lee_no_Seishun_Full-Power_Ninden,https://cdn.myanimelist.net/images/anime/13/36475.jpg?s=afbabba381a6eebe252dc3c6ed09067a,Naruto SD: Rock Lee no Seishun Full-Power Ninden,false,"Welcome to the Hidden Leaf Village. The village where Uzumaki Naruto, star of the TV show ""Naruto"" makes his home. Every day, countless powerful ninjas carry out missions and train to hone their skill...",TV,51,7.140000,2012-04-03 00:00:00 +0000 +0000,2013-03-26 00:00:00 +0000 +0000,73141,PG-13
4134,https://myanimelist.net/anime/4134/Naruto__Shippuuden_-_Shippuu_Konoha_Gakuen_Den,https://cdn.myanimelist.net/images/anime/5/51895.jpg?s=50657ee2b01cf3e31680314e7fe65981,"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",false,Naruto school special. Naruto is a new cool student and when he meets Sasuke they start fighting.,Special,1,7.150000,2008-02-06 00:00:00 +0000 +0000,2008-02-06 00:00:00 +0000 +0000,55689,PG-13
28825,https://myanimelist.net/anime/28825/Himouto_Umaru-chan,https://cdn.myanimelist.net/images/anime/12/75086.jpg?s=3859e8b6e84fb62187f8f71e86f02484,Himouto! Umaru-chan,false,"People are not always who they appear to be, as is the case with Umaru Doma, the perfect high school girl—that is, until she gets home! Once the front door closes, the real fun begins. When she dons h...",TV,12,7.150000,2015-07-09 00:00:00 +0000 +0000,2015-09-24 00:00:00 +0000 +0000,550325,PG-13
10686,https://myanimelist.net/anime/10686/Naruto__Honoo_no_Chuunin_Shiken_Naruto_vs_Konohamaru,https://cdn.myanimelist.net/images/anime/9/30813.jpg?s=55399a5c0c95cad6a6fb83e09dba727c,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,false,Naruto faces off against his old pupil Konohamaru in a tournament during the chuunin entrance exams.,Movie,1,7.150000,2011-07-30 00:00:00 +0000 +0000,2011-07-30 00:00:00 +0000 +0000,61651,PG-13
19511,https://myanimelist.net/anime/19511/Naruto__Shippuuden_-_Sunny_Side_Battle,https://cdn.myanimelist.net/images/anime/1047/91638.jpg?s=0fc6795322dd479caca2103d775de05b,Naruto: Shippuuden - Sunny Side Battle,false,"Back at their childhood home, siblings Itachi and Sasuke Uchiha experience an unusual morning together when Itachi becomes obsessed with cooking the perfect fried egg for Sasuke. Despite being complet...",Special,1,7.490000,2013-10-06 00:00:00 +0000 +0000,2013-10-06 00:00:00 +0000 +0000,51305,PG-13
28755,https://myanimelist.net/anime/28755/Boruto__Naruto_the_Movie,https://cdn.myanimelist.net/images/anime/4/78280.jpg?s=9d8b257b29ff99f0f136562547d0d465,Boruto: Naruto the Movie,false,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy...",Movie,1,7.460000,2015-08-07 00:00:00 +0000 +0000,2015-08-07 00:00:00 +0000 +0000,358532,PG-13
